post_id,theme,subtopic,confidence
7552274934123220238,career_productivity,vibe_coding,high
7553236589682511122,career_productivity,vibe_coding,high
7587536363105389844,career_productivity,vibe_coding,high
7624360522078506254,career_productivity,vibe_coding,high
7631904402214866184,career_productivity,vibe_coding,high
7625858096950218015,career_productivity,vibe_coding,high
7631420993034030369,career_productivity,vibe_coding,high
7631632389457857814,career_productivity,vibe_coding,high
7567608597895482632,career_productivity,vibe_coding,high
7617892809705622806,career_productivity,vibe_coding,high
7604087200308923669,career_productivity,vibe_coding,high
7560753659693370679,career_productivity,vibe_coding,high
7565567588856630535,career_productivity,vibe_coding,high
7552658383996849430,career_productivity,vibe_coding,high
7504733944210787615,career_productivity,vibe_coding,high
7548970045183970578,career_productivity,vibe_coding,high
7624047573896006925,career_productivity,vibe_coding,high
7625127676742765838,career_productivity,vibe_coding,high
7563046845434350866,synthetic_media_play,animation,high
7528407089794829576,career_productivity,vibe_coding,high
7629388546855406856,creative_tool,design_build,high
7632007603941477645,career_productivity,vibe_coding,medium
7563359034263342366,career_productivity,vibe_coding,high
7625491361910803726,career_productivity,vibe_coding,high
7618697110359248158,creative_tool,image_art,high
7603960314110971167,career_productivity,vibe_coding,high
7622596170199665941,synthetic_media_play,funny_skit,medium
7222450416137702702,creative_tool,other,medium
7632622119544786184,career_productivity,tool_roundup,medium
7529866509095636279,creative_tool,music_suno,high
7552215204734520594,synthetic_media_play,animation,high
7505310540093230358,synthetic_media_play,lip_sync,high
7612573146528451862,education_learning,study_aid,high
7630205710919372034,synthetic_media_play,lip_sync,high
7620503630310837524,career_productivity,tool_roundup,high
7401262177828605190,creative_tool,music_suno,high
7520318200223894806,education_learning,study_aid,high
7403860844506877189,companion_affective,emotional_support,high
7617597033142111519,synthetic_media_play,funny_skit,high
7562292897987530006,synthetic_media_play,funny_skit,high
7585164902810127623,synthetic_media_play,animation,high
7325084589725125896,synthetic_media_play,animation,high
7627917640148815124,model_stan,claude_stan,high
7387272806905564448,synthetic_media_play,animation,high
7631598982619237640,career_productivity,chatgpt_workflow,medium
7522866957591547158,career_productivity,tool_roundup,high
7528449906202135828,companion_affective,character_roleplay,high
7404290290053401898,companion_affective,emotional_support,high
7580053045187267862,career_productivity,agent_automation,high
7627455349926268180,general_hype,love_ai,high
7628554272371739912,companion_affective,romantic,high
7584990917539548446,companion_affective,emotional_support,medium
7622555382220688653,creative_tool,design_build,high
7612517166813941008,career_productivity,income_side_hustle,high
7358278039421144362,general_hype,future_optimism,high
7632329192398425366,creative_tool,music_suno,high
7619337595188759816,breakthrough_science,future_promise,high
7623320256483691783,synthetic_media_play,viral_edit,medium
7519802791657753912,creative_tool,image_art,high
7626092175356415245,career_productivity,income_side_hustle,high
7465043772812840222,companion_affective,friendship,high
7456826967640378630,companion_affective,emotional_support,high
